CustomerId,sms_cnt,email_cnt,allcom_cnt,mail_cnt,sew_qty,sew_ns,paper_qty,paper_ns,pct_qty,pct_ns,needle_qty,needle_ns,quilt_qty,quilt_ns,impulse_qty,impulse_ns,other_qty,other_ns,kids_qty,kids_ns,jewelry_qty,jewelry_ns,ribbon_qty,ribbon_ns,paint_qty,paint_ns,seasfloral_qty,seasfloral_ns,celeb_qty,celeb_ns,fabric_qty,fabric_ns,fleece_qty,fleece_ns,warm_qty,warm_ns,homedec_qty,homedec_ns,public_qty,public_ns,special_qty,special_ns,foam_qty,foam_ns,bccomp_qty,bccomp_ns,sew_ns_qty,paper_ns_qty,pct_ns_qty,needle_ns_qty,quilt_ns_qty,impulse_ns_qty,other_ns_qty,kids_ns_qty,jewelry_ns_qty,ribbon_ns_qty,paint_ns_qty,seasfloral_ns_qty,celeb_ns_qty,fabric_ns_qty,fleece_ns_qty,special_ns_qty,warm_ns_qty,homedec_ns_qty,public_ns_qty,foam_ns_qty,bccomp_ns_qty,net_sales,avg,Cluster
1013789167,43,0,43,0,2,7.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.917,35.05,0,0,0,0,3.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.923609938,0,0,0,0,0,42.47,2.022380952,2
1013916398,43,0,43,0,2,19.22,0,0,0,0,0,0,0,0,2,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.79,0,0,0,0,0,0,0,0,0,0,9.61,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,4.79,0,0,0,0,25.61,1.21952381,2
1013985989,49,0,49,0,5.375,26.51,0,0,0,0,1,3.67,0,0,0,0,2,5.24,0,0,0,0,0,0,0,0,0,0,0,0,2,16.3,0,0,4.097,18.47,0,0,0,0,0,0,2,4.07,0,0,4.932093023,0,0,3.67,0,0,2.62,0,0,0,0,0,0,8.15,0,0,4.508176715,0,0,2.035,0,74.26,3.536190476,2
1014145575,49,0,49,0,1.5,2.03,0,0,0,0,0,0,0,0,0,0,3,28.07,0,0,2,7.48,2,3.49,1,11.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,29.78,0,0,0,0,1.353333333,0,0,0,0,0,9.356666667,0,3.74,1.745,11.89,0,0,0,0,1.418095238,0,0,0,0,0,82.74,3.94,2
1014406506,46,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,20.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.152,0,0,0,0,0,0,0,20.38,0.970476191,2
1014631905,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.972,44.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.339644292,0,0,0,0,0,0,0,44.2,2.104761905,2
1014649048,40,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.51,13.02,0.62,2
1015183393,38,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,13,37.87,0,0,0,0,4,11.16,0,0,18,30.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.913076923,0,0,2.79,0,1.682777778,0,0,0,0,0,0,0,0,0,79.32,3.777142857,2
1015290966,45,0,45,0,11,24.05,0,0,0,0,0,0,66.472,370.52,1,1.83,5.25,39.42,0,0,0,0,0,0,0,0,0,0,0,0,1,6.8,2,7.63,0.833,2.49,0,0,0,0,2,1.98,1.5,14.47,2,9.1,2.186363636,0,0,0,5.574076303,1.83,7.508571429,0,0,0,0,0,0,6.8,3.815,0.99,2.989195678,0,0,9.646666667,4.55,478.29,22.77571429,2
1015524125,42,0,42,0,0,0,0,0,0,0,0,0,0,0,1,1.6,0,0,6,18.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3.2,0,0,0,0,0,0,0,0,0,1.6,0,3.03,0,0,0,0,0,0,0,1.066666667,0,0,0,0,0,22.98,1.094285714,2
